area,bedrooms,bathrooms,location,house_age,parking,price,district,land_size,town
2500,3,2,Gampaha,10,2,16000000.0,Gampaha,22.0,Gampaha City
3000,5,3,Colombo,47,2,65000000.0,Colombo,20.0,Homagama
1300,3,1,Colombo,11,2,12000000.0,Colombo,10.5,Homagama
1200,2,1,Colombo,8,1,7800000.0,Colombo,11.5,Padukka
2900,4,4,Colombo,40,2,36000000.0,Colombo,8.5,Piliyandala
2300,5,5,Colombo,46,2,27500000.0,Colombo,7.5,Piliyandala
5000,4,2,Gampaha,1,2,13000000.0,Gampaha,15.0,Nittambuwa
4500,4,5,Colombo,24,2,35500000.0,Colombo,8.0,Malabe
3514,5,3,Colombo,10,2,22500000.0,Colombo,10.0,Piliyandala
3500,2,1,Gampaha,47,1,5750000.0,Gampaha,7.0,Kadawatha
1200,2,1,Gampaha,21,1,11000000.0,Gampaha,7.5,Gampaha City
850,3,1,Kalutara,1,2,7500000.0,Kalutara,20.0,Horana
5450,5,4,Colombo,18,2,70000000.0,Colombo,20.0,Nugegoda
3000,5,3,Colombo,12,2,24500000.0,Colombo,10.0,Homagama
1900,3,3,Colombo,21,2,20500000.0,Colombo,6.5,Homagama
1600,4,2,Colombo,26,2,24500000.0,Colombo,7.42,Moratuwa
3800,5,4,Colombo,6,2,29800000.0,Colombo,6.0,Homagama
4000,4,3,Colombo,13,2,28000000.0,Colombo,15.0,Homagama
4000,2,2,Gampaha,21,1,12900000.0,Gampaha,13.5,Nittambuwa
1200,3,3,Colombo,10,2,29500000.0,Colombo,16.5,Malabe
3600,5,4,Colombo,13,2,35000000.0,Colombo,8.0,Malabe
1250,3,2,Colombo,7,2,26500000.0,Colombo,7.0,Malabe
2000,3,1,Colombo,1,2,15500000.0,Colombo,6.8,Malabe
1400,3,2,Colombo,7,2,16000000.0,Colombo,10.5,Malabe
1300,3,2,Colombo,41,2,17000000.0,Colombo,7.5,Malabe
2000,6,2,Colombo,19,3,32000000.0,Colombo,6.0,Wellampitiya
3000,3,2,Colombo,46,2,120000000.0,Colombo,20.0,Colombo 5
2750,4,3,Colombo,20,2,220000000.0,Colombo,10.1,Colombo 3
3500,5,3,Colombo,10,2,45000000.0,Colombo,7.0,Kohuwala
7240,5,6,Colombo,44,2,70000000.0,Colombo,17.0,Talawatugoda
2550,4,3,Colombo,12,2,25500000.0,Colombo,7.5,Piliyandala
3600,6,4,Colombo,45,3,33500000.0,Colombo,16.2,Kottawa
900,2,2,Colombo,47,1,14500000.0,Colombo,6.8,Pannipitiya
2400,4,3,Colombo,3,2,27000000.0,Colombo,7.0,Kottawa
2400,4,3,Colombo,13,2,24800000.0,Colombo,6.0,Piliyandala
3000,4,4,Colombo,31,2,28500000.0,Colombo,15.0,Piliyandala
2300,4,4,Colombo,33,2,21500000.0,Colombo,9.5,Piliyandala
3500,4,3,Gampaha,26,2,36000000.0,Gampaha,10.0,Kandana
2700,5,3,Colombo,6,2,27000000.0,Colombo,7.5,Piliyandala
1644,4,3,Colombo,24,2,41000000.0,Colombo,6.0,Kolonnawa
2400,4,3,Colombo,48,2,26000000.0,Colombo,7.0,Piliyandala
3000,4,3,Kalutara,23,2,16500000.0,Kalutara,24.8,Matugama
3300,3,2,Colombo,2,2,40000000.0,Colombo,7.0,Talawatugoda
2000,4,2,Colombo,13,2,16000000.0,Colombo,17.0,Athurugiriya
3000,4,2,Colombo,19,2,22000000.0,Colombo,15.4,Piliyandala
3500,4,4,Colombo,4,2,30500000.0,Colombo,8.0,Piliyandala
2000,3,2,Colombo,5,2,21500000.0,Colombo,9.3,Piliyandala
2400,4,2,Gampaha,8,2,13500000.0,Gampaha,10.0,Ganemulla
3000,6,3,Colombo,17,3,40000000.0,Colombo,7.8,Colombo 6
2650,5,3,Colombo,11,2,45000000.0,Colombo,9.9,Rajagiriya
3100,5,3,Colombo,21,2,45000000.0,Colombo,9.33,Kotte
1200,3,2,Colombo,7,2,18500000.0,Colombo,10.0,Piliyandala
2800,4,3,Colombo,6,2,24800000.0,Colombo,6.5,Piliyandala
3100,4,4,Colombo,43,2,40000000.0,Colombo,10.0,Piliyandala
3152,4,3,Gampaha,36,2,26500000.0,Gampaha,10.5,Negombo
5500,5,2,Matara,5,2,27500000.0,Matara,126.0,Dikwella
3250,5,3,Colombo,22,2,23500000.0,Colombo,7.0,Piliyandala
1600,2,1,Colombo,11,1,10500000.0,Colombo,6.0,Angoda
1325,3,2,Kalutara,3,2,12000000.0,Kalutara,10.0,Horana
1200,3,3,Colombo,11,2,14000000.0,Colombo,12.0,Piliyandala
2000,4,3,Colombo,44,2,19500000.0,Colombo,6.5,Piliyandala
2419,5,2,Gampaha,37,2,21000000.0,Gampaha,10.0,Delgoda
2400,4,2,Gampaha,8,2,8000000.0,Gampaha,10.05,Kadawatha
1356,3,2,Colombo,5,2,23800000.0,Colombo,6.5,Piliyandala
3700,5,4,Colombo,22,2,30500000.0,Colombo,8.0,Piliyandala
2500,4,5,Colombo,40,2,25500000.0,Colombo,7.0,Piliyandala
3850,4,4,Colombo,7,2,46500000.0,Colombo,28.0,Piliyandala
3850,4,4,Colombo,3,2,33000000.0,Colombo,10.0,Piliyandala
1500,3,1,Galle,9,2,12000000.0,Galle,10.0,Karapitiya
1425,3,1,Gampaha,6,2,9900000.0,Gampaha,10.0,Negombo
2500,3,1,Kandy,18,2,3990000.0,Kandy,45.0,Kandy City
4200,4,4,Colombo,41,2,49500000.0,Colombo,10.0,Talawatugoda
3300,3,2,Colombo,16,2,40000000.0,Colombo,7.0,Talawatugoda
1500,3,1,Galle,10,2,13000000.0,Galle,10.0,Karapitiya
1000,2,1,Galle,26,1,13800000.0,Galle,23.0,Karapitiya
3000,4,3,Colombo,34,2,110000000.0,Colombo,50.0,Talawatugoda
800,1,1,Colombo,17,1,4800000.0,Colombo,10.5,Homagama
1700,4,2,Colombo,7,2,20000000.0,Colombo,7.0,Angoda
3800,5,4,Colombo,2,2,47500000.0,Colombo,14.8,Talawatugoda
3300,4,4,Colombo,38,2,44000000.0,Colombo,7.7,Talawatugoda
1544,4,2,Matara,7,2,9500000.0,Matara,7.0,Matara City
4000,4,4,Colombo,23,2,60000000.0,Colombo,15.0,Talawatugoda
2500,4,2,Gampaha,8,2,23500000.0,Gampaha,149.0,Negombo
5000,8,5,Colombo,24,4,42500000.0,Colombo,13.5,Nugegoda
4000,6,6,Colombo,32,3,63000000.0,Colombo,12.0,Nugegoda
1300,3,3,Colombo,41,2,15400000.0,Colombo,8.0,Athurugiriya
4500,3,2,Gampaha,7,2,5500000.0,Gampaha,20.0,Negombo
5000,5,4,Colombo,13,2,68000000.0,Colombo,11.0,Nugegoda
1820,3,1,Gampaha,25,2,4600000.0,Gampaha,22.0,Gampaha City
3800,4,4,Colombo,46,2,47500000.0,Colombo,7.0,Nugegoda
7100,6,5,Colombo,16,3,15500000.0,Colombo,27.0,Nugegoda
2800,4,3,Colombo,10,2,26500000.0,Colombo,6.5,Malabe
3200,4,4,Colombo,31,2,36000000.0,Colombo,10.0,Malabe
4000,5,4,Colombo,15,2,65000000.0,Colombo,12.5,Malabe
5600,5,5,Colombo,15,2,135000000.0,Colombo,62.0,Malabe
3200,4,3,Colombo,5,2,45000000.0,Colombo,10.0,Malabe
3100,5,3,Colombo,16,2,37500000.0,Colombo,9.0,Malabe
2675,4,3,Colombo,43,2,48000000.0,Colombo,10.12,Malabe
2850,5,4,Colombo,3,2,29500000.0,Colombo,11.0,Athurugiriya
3250,4,4,Colombo,14,2,27000000.0,Colombo,7.0,Piliyandala
1500,3,3,Colombo,2,2,18500000.0,Colombo,7.5,Malabe
3200,4,4,Colombo,24,2,95000000.0,Colombo,10.0,Kotte
2200,4,3,Colombo,47,2,26500000.0,Colombo,6.5,Malabe
1400,3,2,Colombo,10,2,8700000.0,Colombo,10.0,Homagama
2380,4,4,Colombo,44,2,25000000.0,Colombo,10.0,Kottawa
3500,4,4,Colombo,7,2,60000000.0,Colombo,13.0,Kotte
4900,4,4,Colombo,5,2,80000000.0,Colombo,16.0,Kotte
3000,4,4,Colombo,49,2,33000000.0,Colombo,8.0,Kottawa
1400,3,3,Colombo,2,2,15000000.0,Colombo,10.0,Athurugiriya
3000,4,4,Colombo,6,2,33000000.0,Colombo,8.0,Kottawa
1000,2,2,Colombo,18,1,6800000.0,Colombo,3.5,Wellampitiya
1850,4,2,Gampaha,41,2,9000000.0,Gampaha,15.0,Gampaha City
1200,3,2,Kalutara,47,2,8700000.0,Kalutara,10.0,Wadduwa
4000,4,3,Colombo,15,2,29500000.0,Colombo,8.0,Kottawa
1250,2,2,Colombo,17,1,30000000.0,Colombo,8.8,Ratmalana
3300,4,2,Colombo,49,2,55000000.0,Colombo,11.0,Battaramulla
4000,5,3,Colombo,5,2,65000000.0,Colombo,10.0,Battaramulla
1350,3,2,Colombo,5,2,14000000.0,Colombo,10.0,Malabe
3500,4,4,Colombo,43,2,85000000.0,Colombo,16.0,Battaramulla
4800,5,4,Colombo,10,2,115000000.0,Colombo,22.0,Talawatugoda
3800,4,4,Colombo,30,2,45000000.0,Colombo,7.0,Battaramulla
4500,5,4,Colombo,11,2,115000000.0,Colombo,22.0,Battaramulla
5500,4,4,Colombo,15,2,85000000.0,Colombo,12.0,Talawatugoda
1700,4,2,Kegalle,10,2,12000000.0,Kegalle,11.0,Ruwanwella
1450,3,2,Gampaha,44,2,13500000.0,Gampaha,12.5,Kandana
1400,6,7,Colombo,49,3,170000000.0,Colombo,24.0,Talawatugoda
2344,4,1,Gampaha,20,2,18500000.0,Gampaha,20.0,Kadawatha
4000,5,4,Colombo,18,2,75000000.0,Colombo,14.0,Battaramulla
1400,3,3,Colombo,14,2,18000000.0,Colombo,8.0,Athurugiriya
1825,3,3,Colombo,17,2,12000000.0,Colombo,12.0,Homagama
2500,4,4,Colombo,44,2,21500000.0,Colombo,12.0,Piliyandala
2500,4,4,Colombo,12,2,24800000.0,Colombo,6.5,Piliyandala
1200,3,1,Gampaha,11,2,7500000.0,Gampaha,5.25,Kadawatha
3000,5,3,Matara,13,2,13500000.0,Matara,16.5,Matara City
1200,3,1,Gampaha,37,2,8000000.0,Gampaha,7.0,Kadawatha
10000,5,5,Colombo,1,2,17000000.0,Colombo,26.0,Colombo 7
1500,3,1,Galle,21,2,6500000.0,Galle,10.0,Karapitiya
4500,4,2,Kalutara,2,2,8500000.0,Kalutara,18.9,Kalutara City
2000,4,2,Colombo,41,2,28000000.0,Colombo,10.5,Battaramulla
3800,5,4,Colombo,11,2,50000000.0,Colombo,10.0,Talawatugoda
1541,4,1,Kegalle,23,2,5500000.0,Kegalle,6.0,Yatiyantota
1500,3,2,Colombo,35,2,12800000.0,Colombo,6.5,Piliyandala
3200,4,4,Colombo,3,2,29500000.0,Colombo,8.0,Piliyandala
4000,4,4,Colombo,4,2,150000000.0,Colombo,6.64,Colombo 4
3050,5,4,Colombo,12,2,47000000.0,Colombo,11.7,Battaramulla
2800,4,4,Colombo,23,2,28000000.0,Colombo,10.0,Malabe
2600,4,4,Colombo,48,2,29000000.0,Colombo,10.5,Malabe
2800,5,2,Gampaha,34,2,16000000.0,Gampaha,16.75,Nittambuwa
3000,4,3,Colombo,15,2,110000000.0,Colombo,50.2,Talawatugoda
2250,5,4,Colombo,28,2,29500000.0,Colombo,7.5,Piliyandala
4000,6,5,Colombo,44,3,49500000.0,Colombo,14.0,Piliyandala
1594,3,1,Matale,7,2,3000000.0,Matale,10.0,Dambulla
3000,4,4,Colombo,17,2,53000000.0,Colombo,16.0,Talawatugoda
2400,4,2,Gampaha,45,2,15000000.0,Gampaha,7.5,Negombo
3200,4,5,Colombo,7,2,25500000.0,Colombo,7.0,Piliyandala
3500,5,4,Colombo,34,2,27500000.0,Colombo,8.5,Piliyandala
1300,3,1,Gampaha,1,2,7600000.0,Gampaha,8.5,Gampaha City
3200,4,3,Colombo,14,2,27000000.0,Colombo,19.0,Piliyandala
3025,6,3,Colombo,31,3,20000000.0,Colombo,20.0,Moratuwa
1500,3,1,Gampaha,3,2,4250000.0,Gampaha,25.0,Minuwangoda
2855,5,5,Colombo,9,2,25000000.0,Colombo,23.0,Moratuwa
1400,3,3,Colombo,34,2,18000000.0,Colombo,8.0,Athurugiriya
2000,3,2,Galle,4,2,12000000.0,Galle,14.0,Karapitiya
2000,2,2,Colombo,25,1,32000000.0,Colombo,30.0,Homagama
1400,4,1,Galle,44,2,6800000.0,Galle,10.0,Ambalangoda
950,3,2,Colombo,9,2,18500000.0,Colombo,3.0,Athurugiriya
1800,5,2,Gampaha,15,2,23000000.0,Gampaha,36.0,Negombo
1500,3,2,Colombo,32,2,16500000.0,Colombo,7.5,Athurugiriya
800,2,2,Colombo,32,1,8500000.0,Colombo,3.0,Wellampitiya
1500,2,2,Gampaha,10,1,3800000.0,Gampaha,11.0,Gampaha City
400,1,2,Colombo,50,1,4400000.0,Colombo,0.75,Colombo 9
2300,3,3,Matara,7,2,35000000.0,Matara,22.0,Weligama
5000,8,5,Colombo,21,4,42500000.0,Colombo,13.2,Nugegoda
3300,4,4,Colombo,48,2,55000000.0,Colombo,11.0,Battaramulla
800,2,1,Colombo,37,1,8000000.0,Colombo,3.0,Wellampitiya
2600,4,4,Colombo,31,2,29000000.0,Colombo,10.0,Malabe
2800,4,4,Colombo,47,2,28000000.0,Colombo,10.0,Malabe
1000,3,3,Colombo,41,2,15000000.0,Colombo,10.0,Athurugiriya
900,2,1,Colombo,27,1,8500000.0,Colombo,4.0,Wellampitiya
3500,4,4,Colombo,44,2,85000000.0,Colombo,16.0,Battaramulla
820,3,2,Colombo,8,2,15000000.0,Colombo,4.0,Colombo 5
4000,7,7,Colombo,1,4,47500000.0,Colombo,6.0,Colombo 15
1000,3,2,Colombo,26,2,15000000.0,Colombo,5.0,Wellampitiya
1200,2,1,Matara,49,1,10500000.0,Matara,8.0,Matara City
2200,4,4,Colombo,14,2,23000000.0,Colombo,7.0,Malabe
4000,4,4,Colombo,3,2,49500000.0,Colombo,10.0,Battaramulla
2280,4,3,Colombo,31,2,24800000.0,Colombo,6.5,Piliyandala
1500,5,5,Badulla,20,2,48000000.0,Badulla,80.0,Haputale
2200,4,3,Colombo,47,2,22500000.0,Colombo,6.3,Malabe
3000,3,3,Colombo,2,2,21500000.0,Colombo,9.5,Piliyandala
1900,4,1,Galle,20,2,6250000.0,Galle,40.0,Baddegama
3500,4,3,Gampaha,18,2,35000000.0,Gampaha,11.5,Kandana
3500,5,5,Colombo,48,2,46500000.0,Colombo,28.0,Piliyandala
1700,3,2,Colombo,13,2,50000000.0,Colombo,17.5,Rajagiriya
2900,3,1,Hambantota,24,2,7500000.0,Hambantota,13.5,Beliatta
1500,3,2,Colombo,1,2,14000000.0,Colombo,10.0,Piliyandala
3200,4,2,Colombo,40,2,37500000.0,Colombo,12.85,Athurugiriya
2538,3,2,Colombo,6,2,8000000.0,Colombo,11.0,Kesbewa
1700,4,2,Gampaha,38,2,35000000.0,Gampaha,14.0,Wattala
1500,2,1,Colombo,45,1,8000000.0,Colombo,9.0,Homagama
2500,4,3,Colombo,44,2,24800000.0,Colombo,6.0,Piliyandala
3300,3,2,Colombo,45,2,40000000.0,Colombo,7.0,Talawatugoda
3000,4,3,Colombo,3,2,33000000.0,Colombo,8.0,Kottawa
3800,4,4,Colombo,42,2,28500000.0,Colombo,8.5,Piliyandala
3100,4,3,Gampaha,1,2,26500000.0,Gampaha,10.5,Negombo
1800,3,2,Colombo,25,2,17800000.0,Colombo,6.0,Kottawa
3000,4,3,Colombo,46,2,105000000.0,Colombo,50.17,Talawatugoda
2200,3,3,Colombo,17,2,18500000.0,Colombo,8.0,Piliyandala
3000,5,5,Colombo,49,2,46000000.0,Colombo,6.0,Dehiwala
3500,5,2,Puttalam,48,2,23000000.0,Puttalam,57.0,Wennappuwa
3000,4,3,Colombo,8,2,105000000.0,Colombo,50.17,Talawatugoda
3500,4,4,Colombo,18,2,30500000.0,Colombo,8.0,Piliyandala
3500,4,4,Colombo,4,2,34000000.0,Colombo,8.5,Piliyandala
3000,4,3,Colombo,20,2,36000000.0,Colombo,10.0,Malabe
1500,4,2,Colombo,5,2,14700000.0,Colombo,6.0,Athurugiriya
3250,4,3,Colombo,46,2,30500000.0,Colombo,7.5,Piliyandala
4000,4,4,Colombo,48,2,49500000.0,Colombo,10.0,Talawatugoda
6500,6,5,Colombo,4,3,44000000.0,Colombo,12.5,Talawatugoda
3200,4,4,Colombo,23,2,54800000.0,Colombo,8.7,Battaramulla
3200,5,4,Colombo,3,2,45000000.0,Colombo,9.8,Talawatugoda
3800,5,4,Colombo,27,2,45000000.0,Colombo,11.0,Talawatugoda
3000,4,3,Colombo,5,2,49500000.0,Colombo,10.12,Malabe
3500,4,3,Gampaha,12,2,29500000.0,Gampaha,20.0,Negombo
2500,3,2,Ratnapura,2,2,8500000.0,Ratnapura,12.5,Eheliyagoda
3800,5,4,Colombo,15,2,45000000.0,Colombo,11.0,Battaramulla
3000,4,3,Colombo,40,2,36000000.0,Colombo,7.8,Malabe
3000,6,4,Colombo,27,3,48500000.0,Colombo,14.0,Piliyandala
1000,3,2,Colombo,41,2,22500000.0,Colombo,18.4,Malabe
3000,4,4,Colombo,10,2,33000000.0,Colombo,9.0,Athurugiriya
2880,4,4,Colombo,6,2,29500000.0,Colombo,8.0,Kesbewa
2900,4,4,Colombo,26,2,17300000.0,Colombo,9.0,Athurugiriya
5195,4,4,Colombo,27,2,47500000.0,Colombo,12.34,Athurugiriya
3200,4,4,Colombo,40,2,33500000.0,Colombo,10.0,Talawatugoda
1900,3,3,Colombo,46,2,19800000.0,Colombo,6.3,Athurugiriya
1600,3,2,Colombo,26,2,15800000.0,Colombo,10.0,Homagama
2000,3,2,Gampaha,15,2,16500000.0,Gampaha,5.0,Kadawatha
4500,4,5,Gampaha,45,2,47000000.0,Gampaha,14.7,Negombo
1800,5,3,Colombo,15,2,29000000.0,Colombo,6.7,Boralesgamuwa
3300,4,4,Colombo,50,2,55000000.0,Colombo,11.0,Talawatugoda
3300,4,3,Colombo,5,2,42500000.0,Colombo,11.0,Talawatugoda
2500,4,2,Colombo,24,2,26500000.0,Colombo,9.5,Nugegoda
1750,4,3,Colombo,4,2,23000000.0,Colombo,4.0,Mount Lavinia
2500,4,3,Gampaha,1,2,29500000.0,Gampaha,20.0,Negombo
4628,5,5,Colombo,27,2,39000000.0,Colombo,13.67,Moratuwa
1350,3,1,Gampaha,8,2,9900000.0,Gampaha,10.0,Negombo
1950,3,2,Gampaha,10,2,32500000.0,Gampaha,12.0,Negombo
2611,4,4,Colombo,16,2,25500000.0,Colombo,7.15,Piliyandala
1550,3,2,Gampaha,27,2,17000000.0,Gampaha,11.0,Negombo
1350,2,1,Gampaha,31,1,15000000.0,Gampaha,10.5,Negombo
1300,3,2,Colombo,49,2,17000000.0,Colombo,9.0,Athurugiriya
2150,3,3,Gampaha,25,2,19500000.0,Gampaha,15.0,Negombo
1600,3,3,Colombo,44,2,18000000.0,Colombo,11.0,Piliyandala
4500,6,4,Colombo,12,3,84500000.0,Colombo,20.0,Dehiwala
2750,6,4,Colombo,32,3,38500000.0,Colombo,6.5,Dehiwala
1500,3,2,Gampaha,2,2,13500000.0,Gampaha,10.0,Negombo
2700,4,4,Colombo,2,2,21500000.0,Colombo,9.0,Piliyandala
1800,3,1,Colombo,25,2,14800000.0,Colombo,6.8,Malabe
1560,4,2,Colombo,2,2,5700000.0,Colombo,10.7,Piliyandala
3250,4,4,Colombo,6,2,27000000.0,Colombo,7.0,Piliyandala
1800,3,3,Colombo,25,2,18500000.0,Colombo,10.0,Athurugiriya
1800,3,2,Kandy,7,2,14000000.0,Kandy,17.5,Peradeniya
1615,3,3,Colombo,11,2,17800000.0,Colombo,6.0,Piliyandala
4000,5,4,Colombo,44,2,65000000.0,Colombo,10.0,Malabe
1085,3,1,Kandy,11,2,18000000.0,Kandy,8.08,Digana
2000,5,3,Colombo,22,2,15800000.0,Colombo,10.5,Mount Lavinia
4200,4,4,Colombo,44,2,49500000.0,Colombo,10.0,Kottawa
3768,6,2,Kandy,45,3,55000000.0,Kandy,14.0,Gampola
3140,4,4,Colombo,3,2,34000000.0,Colombo,9.0,Piliyandala
3310,4,4,Colombo,17,2,33000000.0,Colombo,10.0,Piliyandala
3985,5,5,Colombo,6,2,36700000.0,Colombo,11.5,Piliyandala
1645,3,3,Colombo,14,2,18000000.0,Colombo,11.0,Piliyandala
2874,4,4,Colombo,8,2,24800000.0,Colombo,6.0,Piliyandala
2784,4,4,Colombo,3,2,25500000.0,Colombo,7.0,Piliyandala
1574,3,3,Colombo,12,2,18500000.0,Colombo,8.0,Piliyandala
2874,4,4,Colombo,13,2,21500000.0,Colombo,9.0,Piliyandala
3142,4,4,Colombo,44,2,27000000.0,Colombo,7.0,Piliyandala
2964,4,5,Colombo,10,2,25500000.0,Colombo,7.5,Piliyandala
1000,2,1,Colombo,5,1,8500000.0,Colombo,6.0,Boralesgamuwa
2996,3,3,Colombo,15,2,23000000.0,Colombo,7.0,Piliyandala
925,2,1,Gampaha,20,1,8500000.0,Gampaha,13.0,Ja-Ela
1500,3,1,Colombo,26,2,9500000.0,Colombo,10.0,Homagama
3949,4,2,Gampaha,23,2,22499999.0,Gampaha,8.0,Kandana
2880,4,4,Colombo,10,2,31000000.0,Colombo,8.0,Piliyandala
2900,4,4,Colombo,34,2,27000000.0,Colombo,7.0,Piliyandala
1000,3,2,Colombo,18,2,7300000.0,Colombo,10.0,Homagama
1500,4,2,Gampaha,40,2,17000000.0,Gampaha,10.0,Kelaniya
6670,3,1,Gampaha,1,2,31000000.0,Gampaha,23.74,Wattala
